openalex_id,track_in_filter,pvalue_method,corroboration,feature_heterogeneity,title,doi,evidence
W4391092002,survivor,boruta,none,mixed_types|high_cardinality,Novel Associations Between Mid-Pregnancy Cardiovascular Biomarkers and Preeclampsia: An Explorative Nested Case-Control Study,10.1007/s43032-023-01445-z,"The paper uses Boruta, which ""is built on random survival forest (RF), which determines an unbiased grading of the predictive importance."" Results emphasize ranking: ""in descending order of importance: PlGF, MMP-12, LOX-1..."" and ""MMP-12 is highlighted as a promising predictive mid-pregnancy biomarker"" and ""BNP and IDUA were the two strongest biomarkers."" The conclusion states the study ""found MMP-12 to be the most promising candidate."" Logistic regression was applied only to examine ""the direction of the individual association"" and found significant associations only for late-onset, not validating the Boruta rankings through alternative methods."
W3047740330,survivor,boruta,heldout_validation,mixed_types|high_cardinality|scale_mismatch,Predictive features of gene expression variation reveal mechanistic link with differential expression,10.15252/msb.20209539,"The paper states: 'We retrieved the features' ""importance score"" from the Boruta algorithm' using 'Z-scores of mean decrease accuracy measure as importance attribute.' The paper then ranks features as 'the strongest predictor of variation' and constructs mechanistic conclusions: 'Two classes of genes with low variation have distinct regulatory mechanisms' based on which features rank highest (broad promoter TF occupancy vs. narrow promoter Pol II pausing). These ranking claims lack alternative validation: Boruta tests only that features 'predict better than their permuted version' (binary selection), not magnitude. Cross-validation provides held-out performance but not corroboration of feature ranking robustness to impurity bias."
W4416839624,survivor,janitza,pdp_ale,mixed_types|scale_mismatch,Post-fire structural forest recovery associated with climate extremes in dry sub-boreal forests,10.1007/s10980-025-02266-y,"Paper states ""In the global model, anomalously cold and dry summers were the most important predictors of observed groupings...Fire impacts...and site-level/environmental conditions...had similar relative importance values (41-45%). Topographic position had a notably lower importance...We found pre-fire basal area (BA) was the third most important driver."" Main conclusion: ""post-fire climate anomalies best predicted structural recovery."" These ranking and magnitude interpretations are unsupported by permutation importance, SHAP, or held-out validation; Boruta only validates that variables are used (importance > noise), not their ranking."
W3203874096,survivor,janitza,heldout_validation,mixed_types|high_cardinality|skewed,"Machine Learning Predicts the Presence of 2,4,6-Trinitrotoluene in Sediments of a Baltic Sea Munitions Dumpsite Using Microbial Community Compositions",10.3389/fmicb.2021.626048,"The paper states: ""Importance for community data (0.08% threshold, genus rank) and combined data was calculated utilizing the corrected Gini impurity (Nembrini et al., 2018), followed by p-value estimation after Janitza et al. (2018)."" The central claim identifies ""potential microbial fingerprints"" by ranking: ""Thus, 25 genera were selected with Janitza importance > 0.25, p < 0.01"" and ""The most supportive genera (Figure 5) were Cocleimonas (1.65% maximal relative abundance), the unclassified Anaerolineae SBR1031 A4b (0.11%) and an unclassified Gemmatimonadaceae (0.38%)."" Notably, the authors explicitly used permutation importance (Altmann) for sediment data but not for the 25 bacterial genera that form their fingerprint. The data are compositional (1,703 genera available, highly skewed abundances), creating conditions for impurity-bias to distort both magnitude and ranking."
W4413489220,survivor,janitza,heldout_validation,high_cardinality|scale_mismatch,Disentangling soybean GxE effects in an integrated genomic prediction and machine learning-GWAS workflow,10.1186/s13007-025-01434-0,"The paper states: ""For creating a 'small' Random Forest model, the uncorrelated markers with high VI were incrementally added as model features, starting with the markers with the highest VI."" Results show ""22 markers were detected for R8, 15 for Y and 9 for P"" at f>3 thresholds. The authors acknowledge that ""the VI can be biased"" but rely on Janitza et al. p-value adjustment via f-factor. However, they never corroborate the importance ranking with alternative methods (no SHAP, PDP/ALE, or conditional importance). While held-out validation confirms the selected 50 markers achieve ""similar predictive ability,"" this does not validate the ranking of importance among those markers, which the impurity bias could have distorted."
W4410521450,survivor,none,pdp_ale,mixed_types|high_cardinality|skewed|scale_mismatch,The pan-tropical age distribution of regenerating tropical moist forest,10.1038/s41559-025-02721-8,"The paper uses ""corrected impurity measure which estimates mean decrease in accuracy"" via ranger to rank importance of 32 predictors. The core conclusions depend on this ranking: ""Location variables, including longitude, latitude and country had high predictive power...Forest landscape characteristics tended to be very important...Factors relating directly to forms of human pressure...had little influence."" These importance-based rankings drive policy recommendations that ""restoration efforts...should target areas with high surrounding forest landscape integrity."" The feature space is vulnerable to impurity bias: data are ""heavily skewed towards younger forests"" (52% age ≤5 years), include mixed variable types (continuous environmental, high-cardinality categorical locations like country, landscape indices), and lack corroboration beyond partial dependence plots (which show shape, not relative importance)."
W2958774005,survivor,none,,mixed_types|scale_mismatch|skewed,Extending Classification Algorithms to Case-Control Studies,10.1177/1179597219858954,"Table 1 specifies RF variable importance as ""Gini index."" The paper states: ""To determine which biomolecules were most predictive of the case/control status of each individual, the features were ranked within each source using a variable importance metric appropriate for each classification algorithm."" Table 5 presents ranked importances and the Discussion concludes: ""In terms of the variables selected by the different methods (Table 5), CLR and CSVM-RBF selected the same 2 metabolites as the 2 most important features: alpha-tocopherol and apidic acid...Both methods found these 2 metabolites to be highly important."" The paper employs no permutation, SHAP, PDP/ALE, conditional, or heldout validation of the Gini-based ranking. Feature sets include metabolites, lipids, and SNPs with scales ranging -0.079 to 23.149 (metabolites) vs 0 to 2.0 (SNPs)."
W4392969600,survivor,none,none,mixed_types|skewed|scale_mismatch,Machine learning prediction of refractory ventricular fibrillation in out-of-hospital cardiac arrest using features available to EMS,10.1016/j.resplu.2024.100606,"The paper states: ""From feature importance analysis, it was found that the top 3 features for the RF model were age, public arrest location, and heart disease... In comparison, the top 3 features for the multivariable logistic regression and LASSO model were cancer, public arrest location, and male gender."" The Discussion explicitly interprets rankings: ""Based on the model features, male and public location were the variables which highly contributed to the model. We believe it may be reasonable due to the following reasons. Generally, males were reported to be the predominant population... Furthermore, OHCA cases with VF were reported to occur more commonly in public locations..."" No permutation importance, SHAP, PDP/ALE, or conditional importance corroboration is provided for these interpretations, despite an imbalanced outcome (4.1% positive) and mixed feature types that amplify impurity importance bias."
W2322754609,survivor,none,,skewed|mixed_types,Do little interactions get lost in dark random forests?,10.1186/s12859-016-0995-8,"The paper's core claims rest entirely on interpreting the magnitude and ranking of Gini importance: ""Of the single importance measures, the Gini importance ranked the interacting SNPs generally higher than the permutation importance"" and ""The Gini importance performs better than the permutation importance in identifying SNPs involved in an interaction."" Central to the conclusions is the claim that ""in most of the cases, the interactions are masked by marginal effects and interactions cannot be differentiated from marginal effects""—a ranking-based finding that depends on comparing importance scores of interacting SNPs versus marginal-only SNPs. The paper shows comparative results against permutation importance (which ranks variables differently), but this is comparison rather than corroboration; no independent validation via SHAP, PDP/ALE, conditional importance, or held-out validation is provided to confirm that the Gini importance ranking truly reflects underlying variable roles."
W4307429571,survivor,none,pdp_ale,mixed_types|high_cardinality|skewed|scale_mismatch,Predicting Clinical Remission of Chronic Urticaria Using Random Survival Forests: Machine Learning Applied to Real-World Data,10.1007/s13555-022-00827-6,"The paper uses ranger random survival forests and identifies features as ""among the 20 most important predictors"" and ""among the 50 most important predictors,"" ranking them by impurity-based importance. Key claim: ""Clinically relevant features identified by the model to have the most predictive value for the time to clinical remission included age at index, time from first recorded CU-related symptom to first CU diagnosis, BMI, smoking status, asthma, allergic rhinitis, chronic pulmonary disease, and prior medication use."" Only one variable (age) receives partial dependence validation shown in supplementary materials; other top-ranked categorical and binary comorbidity variables lack corroboration. Discussion emphasizes these identified predictors as central to understanding disease pathogenesis: ""The potential for the characteristics identified as important by the predictive model, such as comorbidities, polypharmacy, and increased laboratory workup, to help predict time to clinical remission raise intriguing questions regarding the pathogenesis of CU."""
W7125958004,survivor,none,conditional,high_cardinality|scale_mismatch,Applying traditional and machine learning-based GWAS approaches for marker-trait identification in wheat,10.3389/fpls.2025.1734247,"The paper explicitly uses ""decrease of node impurity"" for Random Forest and ""gain"" for XGBoost. Methods section states: ""As feature importance metrics, we selected gain for XGB and decrease of node impurity for RF instead of permutation-based importance."" The results interpret magnitude and ranking: ""RF model identified 44 highly important markers, with major loci on chromosomes 6A and 6D"" and ""XGB algorithm highlighted highly important loci."" While MTAs are cross-validated across traditional and ML methods, this validation addresses which variables are selected (yes/no), not whether the magnitude and ranking of impurity importance is correct. No permutation importance, SHAP, PDP/ALE, or conditional importance validation is provided."
W2883457117,survivor,none,,mixed_types|skewed,Using machine learning to guide targeted and locally-tailored empiric antibiotic prescribing in a children's hospital in Cambodia,10.12688/wellcomeopenres.14847.1,"The abstract states: ""Most important variables for predicting susceptibility were time from admission to blood culture, patient age, hospital versus community-acquired infection, and age-adjusted weight score."" Figure 5 reports that ""the most important predictor for resistance to ceftriaxone is patient age (leaving this out would decrease the model accuracy 100% of the time). Patient age is closely followed by days from hospital admission to blood sample, age-adjusted weight score, and the classification of the infection as hospital- or community-acquired (omitting this variable would decrease model accuracy 75% of the time)."" The paper uses ranger package random forests (default impurity-based importance), cites Janitza et al. for methodology, but reports no p-values or significance tests for importance scores. No corroboration via permutation importance, SHAP, PDP/ALE, conditional importance, or held-out validation is provided. The ""days from admission"" variable has exponential distribution (Table 1), making it susceptible to upward-biased impurity importance."
W4412136488,survivor,none,none,mixed_types,Haemosporidian Infection Risk Variation Across an Urban Gradient in a Songbird,10.1002/ece3.71770,"The paper identifies significant predictors using Gini importance thresholds: ""The predictor variables were considered significant only if they exceeded the absolute values of the variable with the lowest Gini impurity."" Three variables are ranked by importance magnitude (wing chord 0.494 > trash 0.38 > tables 0.375) and interpreted as ""the most significant variables for predicting infection risk."" The core conclusion states: ""biotic factors—rather than abiotic environmental conditions—may play a more significant role in increasing infection risk."" No independent validation method (permutation, SHAP, PDP/ALE, conditional importance) corroborates these importance rankings."
W4405237241,survivor,none,,mixed_types,Variations in Cycling Distances by Trip Purpose and Socio-Demographic Attributes: Implications for Spatial Scales to Assess Environmental Correlates of Cycling,10.3390/ijerph21121648,"Paper explicitly states: ""We used an actual impurity reduction importance measure to estimate the relative importance of each explanatory variable."" Main findings rest on ranking interpretation: ""The trip purpose was identified as the most important factor...Gender was the second most important determinant (with a relative importance score of 21%)."" This ranking directly informs policy: ""An important implication of the findings is that purpose-specific buffer sizes need to be employed in order to capture environmental attributes related to cycling."" No permutation importance, SHAP, PDP/ALE, conditional importance, or held-out validation methods appear in the paper to corroborate these rankings."
W7118262481,survivor,none,heldout_validation|shap,mixed_types|high_cardinality|skewed,Radiomics-based machine learning model for predicting secondary decompressive craniectomy in TBI patients after emergent craniotomy with bone flap replacement,10.1186/s41016-025-00423-5,"The paper ranks features by Gini score and emphasizes that Maskoriginal_VolumeNum ""had a Gini score significantly higher than all other features, underscoring its importance in the model."" Feature selection is driven by ranking: ""The top features, ranging from the top 5 to 20, were then used as inputs."" However, SHAP values are mentioned only in supplementary material without discussion of whether they corroborate the Gini ranking, and no permutation/conditional importance is provided. In a 65-patient cohort with 112+ radiomic features mixed with categorical clinical variables, impurity importance will be biased toward high-cardinality features, yet the ranking is treated as ground truth for interpretation."
W4388570374,survivor,other,heldout_validation,mixed_types,Drug product attributes predict clinical efficacy in betibeglogene autotemcel gene therapy for β-thalassemia,10.1016/j.omtm.2023.101155,"The paper concludes: ""The top predictive features were found to be drug product quality attributes... Figure 2 A shows that the %LVV+ cells are the most predictive attribute of PB VCN at month 6 and subsequently TI"" and uses this ranking to establish clinical ""acceptance criteria for future release and clinical use of beti-cel."" This critical ranking relies solely on ranger impurity importance; no permutation importance on validation set, SHAP values, PDP/ALE plots, or external cohort validation corroborate the ranking. The %LVV+ variable is a percentage measure with probable rightward skew, precisely where impurity importance magnifies effects, and multiple correlated transduction efficiency surrogates exist that could have had importance mis-attributed."
W3158585041,survivor,other,heldout_validation,skewed,Knockout of immunotherapy prognostic marker genes eliminates the effect of the anti-PD-1 treatment,10.1038/s41698-021-00175-2,"The paper explicitly uses ""random survival forest (RSF) approach"" to rank pathways and genes by ""feature importance (RSF variable importance, p-value < 0.05)."" Based on this ranking, they select pathways ""with the greatest bearing on predictive power"" and construct a final biomarker panel from the ""top 40 IPMGs,"" stating that ""the model taking the expression of the top 40 IPMGs as input achieved the highest 88.91% accuracy."" Their main conclusion is that ""the expression of the 40 IPMGs can serve as a set of pan-cancer prognostic biomarkers for immunotherapies."" This relies directly on the ranking being correct to identify which genes should be included in the panel."
W4280621189,rejected_sample,none,pdp_ale,mixed_types|skewed,Determination of Survival of Gastric Cancer Patients With Distant Lymph Node Metastasis Using Prealbumin Level and Prothrombin Time: Contour Plots Based on Random Survival Forest Algorithm on High-Dimensionality Clinical and Laboratory Datasets,10.5230/jgc.2022.22.e12,"The paper's central claim is that 'the prealbumin level and the PT were found to be the most crucial factors' based on feature selection where 'the prealbumin level and the PT were identified as the predictors of top priority. Their importance was much greater than those of the other factors.' This ranking-based conclusion depends entirely on impurity importance. While partial dependence plots are provided for the selected variables to show effect shapes, no cross-variable comparison is performed to validate the ranking across all 81 features, and the authors note that 'the distributions of the PT...are left-skewed'—precisely the scenario where impurity importance magnification bias peaks. No permutation importance, SHAP, or conditional importance analysis is provided to verify the ranking is robust to the known biases of Gini/MDI-based importance."
W3168330745,rejected_sample,none,heldout_validation,high_cardinality|mixed_types,SARS-CoV-2 detection status associates with bacterial community composition in patients and the hospital environment,10.1186/s40168-021-01083-0,"""The paper states: 'the importance of each ASV for the prediction performance of the four classifiers...was estimated by the built-in random forest scores in the 100-fold cross-validation. For each body site or environmental site, we finally ranked all ASVs by their average ranking of importance scores.' The main contribution is identifying 'the top 100 ranked important ASV's' and reporting 'One ASV with an exact match to Rothia dentocariosa...was highly ranked as predictive across all four disparate sample types' and 'ASVs from the genera Actinomyces, Anaerococcus, Dialister, Gemella, and Schaalia were in the top 40 ranked predictive features.' These rankings drive their biological conclusions about which taxa are most associated with SARS-CoV-2."""
W4285729222,rejected_sample,none,heldout_validation,mixed_types|high_cardinality|skewed,Human Activity Changes During COVID‐19 Lockdown in China—A View From Nighttime Light,10.1029/2021gh000555,"The paper uses feature contributions from random forest models and explicitly interprets magnitude and ranking: ""For each of the six categories, the contribution of the sample to the target value was calculated, and then medians of feature contributions as a proxy for the 'standard level' of variable contributions were obtained with higher absolute values indicating a larger contribution."" The entire Discussion (4.1) depends on interpreting these magnitudes to explain city-specific patterns: ""For Beijing (Figure 6a), the contribution of the company gradually declined from stage I to IV and recovered in stage V."" No permutation importance, SHAP, or conditional importance validation exists; OOB validation only checks overall fit (R² ~0.52), not feature-ranking robustness. Conclusions state ""companies in all cities were resuscitated during stationary period, but Guangzhou's recovery was earlier"" - a ranking claim unsupported by alternative importance methods."
W4404738023,rejected_sample,none,none,mixed_types,Soil carbon in the world’s tidal marshes,10.1038/s41467-024-54572-9,"The paper explicitly states: ""Within the final random forest, variable importance was set to 'impurity' within the ranger package, corresponding to the Gini index for classification."" It interprets both ranking and magnitude: ""Soil depth was the most important driver of SOC density"" and ""temperature (both maximum and minimum) had similar relative variable importance as many other covariates."" The authors acknowledge a key limitation: ""While the variable importance of the model indicates that temperatures partially drive the patterns of SOC, there is uncertainty in this assessment as underlying interactions between variables are not captured."" No permutation importance, SHAP, partial dependence, conditional importance, or held-out validation is used to corroborate these rankings."
W4289224932,rejected_sample,none,heldout_validation,mixed_types|scale_mismatch|skewed,Global analysis and prediction of fluoride in groundwater,10.1038/s41467-022-31940-x,"The Methods section states importance was ""determined as the mean decrease of the Gini index (classification impurity)"" and the paper concludes ""The geospatial prediction model is dominated by climate parameters"" based explicitly on Gini rankings in Fig. 2a. While univariate Kendall correlations in Fig. 2b show relationships between individual predictors and fluoride prevalence, no permutation importance, SHAP, PDP/ALE, or conditional importance methods are employed to validate the importance magnitude or ranking. The authors acknowledge the bias directly: ""a categorical variable (such as lithology) is less likely than a continuous variable to have an effect on the model when its values are randomly sorted, due to having far fewer possible values,"" yet implement no correction. The predictor set mixes continuous (climate, topography, soil at 250m-1km resolution) and categorical (acidic igneous rocks) variables with inherently different cardinalities, creating conditions for impurity importance to magnify effects on high-cardinality continuous features."
W2969695615,rejected_sample,none,heldout_validation,mixed_types,Trans-omics biomarker model improves prognostic prediction accuracy for early-stage lung adenocarcinoma,10.18632/aging.102189,"The paper uses ranger variable importance scoring to screen 12,806 DNA methylation probes down to 62 (discovery) and 38 (validation), and gene expression data down to 9 and 13 genes: ""Ranger screened out 62 DNA methylation probes in the discovery phase according to variable importance score (VIS)."" The core claim is ""we identified 7 cancer-related genes and 12 DNA methylation probes as potentially associated with early-stage LUAD survival,"" which depends on this importance-based ranking. While the selected biomarkers are validated with Cox regression (FDR-corrected in discovery, p<0.05 in validation) and tested in independent cohorts, the paper provides no permutation importance, SHAP, PDP/ALE, or conditional importance analysis to verify that the importance ranking itself is accurate."
W4290851618,rejected_sample,none,none,mixed_types|scale_mismatch,Predicting the presence of depressive symptoms in the HIV-HCV co-infected population in Canada using supervised machine learning,10.1186/s12874-022-01700-y,"The paper identifies and emphasizes impurity-importance rankings as primary findings: ""Employment, HIV clinical stage, revenue source, body mass index (BMI), and education were the 5 most important predictors."" In Discussion, it interprets these rankings to draw substantive conclusions: ""The five most important predictors are related two main themes—i. SES (education, revenue source and employment) and ii. overall health status (HIV clinical stage and BMI)."" No permutation importance, SHAP, PDP/ALE, conditional importance, or held-out validation is reported to corroborate the ranking."
W3126801790,rejected_sample,none,heldout_validation|none,high_cardinality|skewed,An OMICs-based meta-analysis to support infection state stratification,10.1093/bioinformatics/btab089,"The paper ranks genes by RF selection frequencies (Table 3), identifying 'LY6E, IFI27 and CD177 as important key genes' and biomarker panels based on which features were selected most often in backward elimination and genetic algorithm runs. These rankings are derived entirely from RF impurity importance via VarSelRF and GALGO. The paper validates predictive performance via cross-manufacturer held-out testing (Fig 5) and functional enrichment, confirming genes lie in immune-response pathways. However, no permutation importance, SHAP, PDP/ALE, or conditional importance analysis is reported to validate whether the magnitude and ranking of individual gene importance is accurate. The impurity-importance bias could distort which genes are ranked highest without invalidating model accuracy."
W4390875684,rejected_sample,none,heldout_validation,high_cardinality|skewed|scale_mismatch,IgG Antibody Responses to Epstein-Barr Virus in Myalgic Encephalomyelitis/Chronic Fatigue Syndrome: Their Effective Potential for Disease Diagnosis and Pathological Antigenic Mimicry,10.3390/medicina60010161,"The paper ranks 3054 EBV peptide antibodies using mean decrease in Gini index and selects features by adding top-ranked antibodies until reaching 85% accuracy, yielding a 26-antibody diagnostic classifier. It interprets magnitude (""overall average antibody importance was around 0.018"" vs. highest at 0.36) and ranking explicitly, stating ""antibodies against this candidate antigen were not among the top most important antibodies for disease prediction,"" using this ranking interpretation to downplay molecular mimicry's pathogenic role. Corroboration is limited to held-out test accuracy (90%), without permutation importance, SHAP, conditional importance, or alternative feature selection methods to verify whether MDI ranking identifies optimal biomarkers or whether magnitude/ranking would persist under different importance measures."
W4206200000,rejected_sample,none,none,mixed_types,Prediction of Physical Frailty in Orthogeriatric Patients Using Sensor Insole–Based Gait Analysis and Machine Learning Algorithms: Cross-sectional Study,10.2196/32724,"Methods state ""Gini impurity was used to rank the variables in order of their importance."" Results report ""The number of steps and the step length were the most decisive factors...The gait speed followed in third place."" Discussion concludes ""the advanced modeling used in this study weighted stride length equally important as gait speed...in terms of their classification importance measured by the Gini impurity"" and recommends ""stride length in addition to gait speed might be a valuable clinical parameter to identify patients with physical frailty."" No permutation, SHAP, PDP/ALE, or conditional importance validation provided."
W2982481728,rejected_sample,none,none,mixed_types|high_cardinality|skewed,A High-Performance Computing Implementation of Iterative Random Forest for the Creation of Predictive Expression Networks,10.3390/genes10120996,"The paper calculates feature importance from ""node impurity, such as the Gini index...or variance explained for regression."" For iRF-LOOP, ""the resulting importance scores are then combined into an edge matrix"" and networks are created by keeping ""the top 10%, 5%, 1%, and 0.1% of edge scores."" Validation occurs only through Gene Ontology overlap (""intersecting with the GO network""), but the authors never employ permutation importance, SHAP, conditional importance, or held-out validation to corroborate whether the importance rankings themselves are accurate or resistant to impurity bias."
