openalex_id,cites,pvalue_method,title,doi,adjudication_reason
W4293063191,54,none,How Have Global River Widths Changed Over Time?,10.1029/2021wr031712,"The paper explicitly defines importance as impurity based: ""Parameter importance is measured in terms of node impurity and calculated as the decrease in the residual sum of squares that results from splitting the response variable... A higher node impurity (or parameter importance) indicates that the parameter is more important."" This ranking is central to the paper's headline conclusions, repeated in the abstract, key points, and discussion: ""the most important factor driving temporal variations in river width is the climate for free-flowing rivers, and is soil condition for human-impacted rivers,"" and ""Elevation is the most important parameter influencing river width variability."" I searched the full text for permutation importance, SHAP (the one ""shap"" hit is actually ""shape""), cross-validation, out-of-bag/R2 reporting, or held-out validation of the selected feature set, and found none. The only auxiliary tool is ALE plots, which the paper itself says are used only ""to show how the river width variability and trend change with each of them"" (visualizing functional shape/direction), not to independently validate the magnitude or rank order of importance. The paper even flags its own exploratory status (""further investigations are needed to explain why/how climate and soil erosion impact river width""), and its pre-selection step (choosing one ""most important"" parameter per correlated subcategory before the final RF) also relies on the same biased impurity importance, compounding rather than correcting the issue. All three CONFIRMED criteria are met: genuine impurity-importance use, centrality of the ranking to stated conclusions, and absence of adequate corroboration."
W4404738023,52,none,Soil carbon in the world’s tidal marshes,10.1038/s41467-024-54572-9,"The paper explicitly sets ranger's variable importance to ""impurity"" (Gini/variance-reduction) and reports it in Fig. 4, with no other importance method used anywhere in the text (grep confirms zero hits for permutation, PDP, or conditional importance; the only ""shap"" hits are substrings of ""shaped""/""shapefile""). The ranking and magnitude are central to stated conclusions: ""Soil depth was the most important driver of SOC density,"" elevation is discussed as ""also an important variable"" with a causal-sounding explanation, and critically the finding that ""temperature... had similar relative variable importance as many other covariates"" is used to argue against prior literature that temperature strongly drives SOC. The only ""corroboration"" offered is an overall R2 of 0.59 from spatial cross-validation, which validates predictive accuracy of the whole model, not the selected feature ranking, and the authors themselves flag the interaction confound without addressing it methodologically (""there is uncertainty in this assessment as underlying interactions between variables are not captured""). All three CONFIRMED criteria are met: impurity importance is genuinely used, its ranking/magnitude is central to a stated conclusion (depth as top driver; temperature as a weak/non-driver), and no permutation/SHAP/PDP/conditional-importance/held-out-ranking validation is provided."
W2590575045,43,none,Modelling the effects of environmental conditions on the acoustic occurrence and behaviour of Antarctic blue whales,10.1371/journal.pone.0172705,"The Methods section describes both permutation and impurity-based importance, but the actual reported metric in Figs 9 and 12 (the source of every ""main/moderately/least important predictor"" ranking) is explicitly captioned ""Relative variable importance is measured by residual sum of squares and expressed relative to the maximum"" — this is the mean-decrease-in-node-impurity (RSS) measure, i.e., classic MDI/impurity importance, not permutation importance. These rankings are central: the abstract itself states ""SBACC, latitude and distance from the nearest Antarctic shores were the main geographic predictors"" and ""SSH, SST, and chlorophyll-a were the most important environmental predictors,"" and the Discussion builds biological interpretation directly on the ""least important"" status of month and day/night. No permutation importance values, SHAP, conditional importance, or held-out validation of the selected/ranked feature set is reported; the only validation metrics (AUC, RMSPE, Spearman rho, 5-fold CV/LGOCV) assess overall predictive accuracy of the fitted model, not the correctness of the impurity-based variable ranking, and the partial-dependence-style response curves (Figs 8, 10, 11) show relationship shape but do not corroborate importance magnitude or order. All three confirmation criteria are therefore met, so the flag cannot be refuted from the text."
W4225939351,41,none,Machine learning-assisted identification of bioindicators predicts medium-chain carboxylate production performance of an anaerobic mixed culture,10.1186/s40168-021-01219-2,"The paper explicitly and exclusively uses mean-decrease-in-Gini importance (the randomForest package default) to select the 15 top ASVs for HRT classification and, separately, the top-15 ASVs per process parameter (non-HRT bioindicators); no permutation importance, SHAP, PDP/ALE, or conditional importance appears anywhere in the text. The headline conclusion, stated in both the abstract and results (""Four inferred bioindicators... suggest their relevance to the higher carboxylate productivity""; ""we hypothesize that species represented by these four ASVs determined the increased C6/C8 productivities""), is derived purely from these four ASVs recurring across two separate Gini-based rankings (HRT classification and non-HRT productivity regression). Corroboration is inadequate under the stated bar: the metagenomic MAG analysis only shows the taxa genetically CAN perform relevant reactions (biological plausibility, not a statistical validation of the ranking), and the authors' own admission is telling (""the genetic potential alone does not guarantee that the respective metabolic process is performed""). Critically, the one held-out predictive test that specifically targets the disputed four-ASV selection found predictability ""relatively poor"" when using only these four bioindicators (Additional file 1: Fig. S14) — the opposite of corroboration — while the RRMSE~4.6% validation that does perform well applies to the broader 15-ASV HRT-bioindicator set, not to the narrower four-species claim. Hence all three CONFIRMED conditions are met."
W2898780495,32,none,Ensemble learning for detecting gene-gene interactions in colorectal cancer,10.7717/peerj.5854,"The paper explicitly uses Gini Index impurity importance for random forests (""the Gini Index importance of a feature was estimated based on the impurity of splitting testing samples on the tree node using the feature"") and an analogous split-improvement-based (not permutation-based) importance for GBM. This ranking is squarely central: the 44-SNP candidate set, the headline claim that ""SNP rs3760948 from gene ARRDC5 was ranked the highest by both random forests and GBM,"" and all downstream interaction/enrichment analyses derive directly from this impurity-based ranking cutoff. The only ""validation"" offered is (a) agreement between RF-Gini and GBM's own impurity/improvement-based score, two estimators that share the same class of impurity biases rather than providing independent corroboration; (b) univariate PLINK p-values, which several selected SNPs actually fail (e.g., rs11185516, p=0.669, rank 125,071/186,251), used by the authors to argue these are pure-interaction signals rather than as a check on ranking validity; (c) permutation testing of information gain, but only among the 44 already-selected SNPs to test specific pairwise/three-way interaction hypotheses, not permutation importance, SHAP, PDP/ALE, conditional importance, or held-out validation of the selection/ranking itself; and (d) functional enrichment/literature overlap, which is biological plausibility, not statistical corroboration of the ranking. Since the study specifically seeks interaction-driven, non-additive signal, it is exactly the regime where impurity importance's tendency to inflate variables involved in interactions could most plausibly have distorted which SNPs made the top-44 cut, and no method on the adequate-corroboration list was applied."
W2970271155,27,none,Machine learning-based chemical binding similarity using evolutionary relationships of target genes,10.1093/nar/gkz743,"The paper explicitly computes ranger's random-forest variable importance defined as ""a total decrease in node impurity"" (classic Gini/MDI impurity importance), not permutation importance or SHAP. This ranking is used to draw a stated conclusion in the ""Contribution of evolutionary information"" section: Family, Target, and PFAM are ranked as high-importance sources while TS-SMART, TS-TIGR, TS-PRINT, and TS-Gene3D are ranked low, explicitly attributed to ""low model performance...and target coverage"" which is precisely the coverage-confounded scenario the bias flag describes, since PFAM/Family/Superfamily annotate over 74% of targets versus under 50% for the low-ranked sources. The only corroboration offered is a post-hoc, hedged (""probably"", ""we think"", ""might"") correlation between each single feature's own held-out AUC (Table 1) and its Gini importance rank, which is exactly the kind of overall model-accuracy correlation the rubric says does NOT validate an importance ranking; there is no permutation importance, SHAP, PDP/ALE, conditional importance, or an ablation-style held-out test of the selected high-importance feature subset. Because the ranking supports a specific interpretive claim about which evolutionary databases matter and is not adequately corroborated by an independent importance method, the flag is confirmed."
W4206200000,26,none,Prediction of Physical Frailty in Orthogeriatric Patients Using Sensor Insole–Based Gait Analysis and Machine Learning Algorithms: Cross-sectional Study,10.2196/32724,"The Methods explicitly state ""Gini impurity was used to rank the variables in order of their importance"" within the RF-based recursive feature elimination, and Figure 2 orders the 9 selected features ""ranked by Gini-Impurity."" The Discussion builds a substantive clinical claim directly on the magnitude/ranking of this impurity importance: it states the model ""weighted stride length equally important as gait speed...in terms of their classification importance measured by the Gini impurity"" and uses this specific ranking comparison to argue stride length is a more robust clinical parameter than the previously favored gait speed, concluding ""stride length in addition to gait speed might be a valuable clinical parameter to identify patients with physical frailty."" No permutation importance, SHAP, PDP/ALE, or conditional importance is used anywhere in the paper. The only validation performed is overall AUROC/accuracy of the downstream KNN and RF classifiers trained on the whole 9-variable selected set (0.801/0.919 AUROC) — this validates that the feature set collectively predicts well, but per the stated rule this does not validate the internal ranking claim that stride length and gait speed are comparably important, which is exactly the analysis-specific bias impurity importance is prone to (correlated/continuous variables can be inflated relative to others). All three CONFIRMED criteria are met."
W4296249018,25,none,Role of intratumoral and peritumoral CT radiomics for the prediction of EGFR gene mutation in primary lung cancer,10.1259/bjr.20220374,"The paper explicitly computes Random Forest feature importance via ""the mean decrease in the Gini index"" (Methods, ref. 29; Table 5 footnote ""Measured using the mean decrease in the Gini index""), a textbook impurity/MDI measure, and ranks 32 mostly-continuous radiomic features plus 4 clinical features by it (Table 5, Supplementary Table 2). The Discussion then builds substantive biological interpretation directly on that ranking: it identifies LAHGLE as ""the most important peritumoral feature"" and the 90th percentile as ""the most important"" intratumoral radiomic feature, and constructs mechanistic explanations (vascular convergence, honeycombing/emphysema, ground-glass opacity) tied to their rank position relative to the other 30 features — i.e., the magnitude/ordering of impurity importance is load-bearing for a stated conclusion, not incidental. The only corroboration offered is a univariate Mann-Whitney/Fisher significance test showing these two specific features individually differ by EGFR status (p<0.001) — this validates directionality/non-nullity for two features, not the relative ranking or magnitude among the full feature set, and is not permutation importance, SHAP, PDP/ALE, conditional importance, or held-out predictive validation of the selected top-10 set. Since GLSZM/GLCM/first-order features are continuous, high-cardinality variables prone to impurity-importance inflation relative to categorical clinical covariates and to features involved in interactions, the specific ""most important"" designations used to anchor the biological narrative are not adequately corroborated, so all three conditions for CONFIRMED are met."
W3136336738,23,none,Classification of Molecular Subtypes of High-Grade Serous Ovarian Cancer by MALDI-Imaging,10.3390/cancers13071512,"Methods 4.6 states explicitly: ""feature selection was performed on the training set using Gini importance, the inherent ranking of features within the decision trees of a RF"" with a ""25% cut-off,"" and Results 2.5/2.6 report specific named proteins (H1.2, ACTA2, HSPA8, H2A, HSPD1) as ""the highest relevance"" or ""one of the most predictive genes,"" with the Discussion building a biological narrative specifically around H1.2 being ""highly discriminative."" This is genuine impurity/Gini importance driving named biomarker claims, so ranking magnitude is central to a stated conclusion (identification of candidate protein markers), not just an incidental byproduct. The only validation offered is held-out mean AUC (0.983-0.999) of classifiers built on the whole 135-feature Gini-selected set, which validates that the selected SET predicts well but does not corroborate the internal ranking or the specific claim that ACTA2/HSPA8/H2A/HSPD1 or H1.2 individually rank above other features (Figure 3/5B spatial maps are illustrative, not a formal permutation/SHAP/PDP/conditional-importance analysis). No permutation importance, SHAP, PDP/ALE, or conditional importance is used anywhere in the paper, matching the first-pass finding, so the ranking is not adequately corroborated."
W4302363433,21,none,Structural variants identified using non-Mendelian inheritance patterns advance the mechanistic understanding of autism spectrum disorder,10.1016/j.xhgg.2022.100150,"The paper explicitly uses Gini (impurity) importance from Ranger to select the top ten genes per cluster from an iRF classifier, then asserts specific genes literally ""define"" each subgroup (e.g., ""an ASD-SV in the CTNNA2 gene defines cluster 1... whereas the CACNA2D1 gene... defines cluster 3""), and this is showcased in the abstract as a headline result (""use an explainable artificial intelligence approach to define subgroups demonstrating their use in the context of precision medicine""). The only support for this specific gene selection is a heatmap of the same frequency data the importance score was computed from, plus literature lookups tying the named top genes to unrelated phenotypes (startle response, cardiac arrhythmia); there is no permutation importance, SHAP, PDP/conditional importance, or held out predictive validation of this particular top ten per cluster selection. The GO/eQTL/RNA seq validation cited by the first pass screen pertains to a separate, broader 1,116 gene core ASD SV set from an independent enrichment analysis, not to the Gini ranked cluster defining genes, so it does not corroborate this specific ranking. All three CONFIRMED criteria are met: genuine impurity importance use, centrality of the ranking to a stated headline conclusion, and lack of adequate corroboration of that ranking."
W4225788860,20,none,Multilevel predictors of climate change beliefs in Africa,10.1371/journal.pone.0266387,"The paper explicitly states it computes ""variable importance"" using ""the corrected Gini method"" (citing Nembrini et al. 2018), which is a bias-adjusted variant of impurity/MDI importance that only fixes the cardinality/many-splits bias, not the super-linear magnification, nonlinearity-versus-skew confound, or interaction-attribution biases the flag targets, so it is still genuine impurity importance. Ranking/magnitude of this importance is central to the paper's headline claims, e.g. ""worsening perceptions of agricultural conditions are the main predictor for climate change risk perception"" and ""Local changes in climate conditions are among the most important predictors across all models. Overall, they are more important than access to news, political ideology, or demographics,"" which drive the abstract's key results and Table 1's cross-model importance ordering. The only corroboration offered is partial dependence plots, which the authors themselves use solely ""to illustrate the magnitude and direction of the direct effects of significant predictors"" (i.e., shape/direction of individual effects), not to independently re-derive or validate the relative ranking across predictors; there is no permutation importance, SHAP, conditional importance, or held-out predictive validation of the selected/ranked feature set (the reported 63-80% ""prediction accuracy"" figures are whole-model accuracy, not validation of the ranking). All three criteria for CONFIRMED are met."
W4311575488,18,none,Fish grabbing: Weak governance and productive waters are targets for distant water fishing,10.1371/journal.pone.0278481,"The Methods section describes their ""variable importance (VI) scores"" as a ""relative measure indicating how often a variable was used for a split in the final RF models"" using the ranger package, with no mention of setting importance=""permutation"" — this is standard impurity-based (Gini/variance-reduction) importance, not permutation importance or SHAP. The ranking and magnitude of this VI measure is genuinely central to the paper's headline claims: ""Governance effectiveness is the most important governance indicator in fixed gear, longliner and tuna purse seiner DWF, for the latter two it is the most informative across all variables"" and ""Tuna purse seiners are the only gear type in which governance indicators dominantly exceed biophysical variables in their Variable Importance scores,"" which directly underpin the Conclusion's paradigm-challenging claim that ""governance performance indicators can be more important in explaining effort in some DWF gear or species specific fleets... than traditionally used ecological factors such as primary productivity."" Corroboration is limited to a random-noise-variable threshold (which only screens informative vs. non-informative predictors, not correcting relative magnitude bias among real, differently-scaled predictors) and ALE plots (which show direction/shape of effects, not validity of the magnitude ranking itself). No permutation importance, SHAP, conditional importance, or held-out validation of the selected feature ranking is reported, so per the stated criteria the ranking is not adequately corroborated."
W4307429571,14,none,Predicting Clinical Remission of Chronic Urticaria Using Random Survival Forests: Machine Learning Applied to Real-World Data,10.1007/s13555-022-00827-6,"The paper never names its importance metric explicitly (no mention of ""Gini,"" ""impurity,"" ""permutation,"" ""SHAP,"" or ""VIMP"" anywhere in the text), but the workflow (a ranger random survival forest, iterative reduction from 1,876 to 176 features, explicit note that ""statistical significance testing imposes a substantial computation burden,"" and a bare ""importance of predictors can be calculated on the basis of the model"") is consistent with the fast, tree-split-based (impurity-type) importance rather than the far costlier repeated-permutation importance over ~1,900 candidate variables; no alternative rigorous importance method is ever cited. The magnitude/ranking of that importance is genuinely central to stated conclusions: variables are explicitly labeled ""among the 20/50 most important predictors"" and the Discussion and Conclusions build a pathogenesis narrative directly on this ranking (""The potential for the characteristics identified as important... to help predict time to clinical remission raise intriguing questions regarding the pathogenesis of CU,"" and Conclusion point 3: ""provide insights into factors involved in the pathogenesis of the condition""). Corroboration is thin: only the single continuous variable age receives a partial dependence plot (Supplementary Fig. E1); the many binary/categorical top-ranked predictors (asthma, allergic rhinitis, chronic pulmonary disease, smoking status, LTRA/PPI/antihistamine use) receive no permutation importance, SHAP, conditional importance, or held-out validation of the selected feature set — the cohort-stratified summary tables merely describe how already-selected ""important"" features trend across outcome quartiles, which is circular and does not independently validate the ranking. Because impurity-type importance is plausibly used, its magnitude/ranking is load-bearing for a stated (if secondary) conclusion about disease pathogenesis, and corroboration is inadequate for all but one variable, the flag survives adversarial review."
W3202758959,14,none,"Not just form, not just meaning: Words with consistent form-meaning mappings are learned earlier",10.1177/17470218211053472,"The paper's own analysis code (stats/fsc_analyses_objAoA.R in the cited GitHub repo) calls ranger(...) with importance = ""impurity"" explicitly, confirming genuine Gini/variance impurity importance, not permutation importance. The Results section makes explicit magnitude/ranking claims from these impurity plots that function as stated findings supporting the robustness of the effect: ""PSC ld, in particular, is slightly more important than concreteness and more important than most other predictors"" and ""PSC ld is more important than iconicity in predicting AoA and ranks just below concreteness."" No permutation importance, SHAP, PDP/ALE, or conditional importance is computed for the RF models; the corroboration actually present is linear-regression significance/direction (not magnitude), GAMs (non-linearity check), a random form-meaning-correspondence permutation test (a null-distribution check unrelated to RF variable importance), and ranger's OOB r.squared improvement from adding PSC alone (validates that PSC's marginal contribution is real, but not that its impurity-importance rank relative to concreteness/frequency/morphology/PND is trustworthy). Because the predictor set mixes continuous, binary, and skewed count variables known to bias impurity importance, and the specific comparative ranking claims are uncorroborated by any bias-robust method, all three CONFIRMED conditions are met."
